NAMA SYARIKAT,NO KENDERAAN,KELAS LESEN,DAERAH,NEGERI
CHEY KAM CHOY,JJH3773,BAS SEKOLAH   ,Johor Bahru,Johor
CHEY KAM FOOK,PFV9061,BAS SEKOLAH   ,Johor Bahru,Johor
CHEY KAM FOOK,WBH7437,BAS SEKOLAH   ,Johor Bahru,Johor
CHEY KAM FOOK,BHD2333,BAS SEKOLAH   ,Johor Bahru,Johor
CHIA AH LEH,NAH9717,BAS SEKOLAH   ,Seremban,Negeri Sembilan
CHIA AH SIM,BBN2557,BAS SEKOLAH   ,,Selangor
CHIA CHAN HIN,BJP8317,BAS SEKOLAH   ,Hulu Langat,Selangor
CHIA CHEE MING,WJB7498,BAS SEKOLAH   ,Gombak,Selangor
CHIA KIM SUN,BEN7581,BAS SEKOLAH   ,Johor Bahru,Johor
CHIA KIM SUN,NAK5669,BAS SEKOLAH   ,Johor Bahru,Johor
CHIA KIM SUN,WEJ1680,BAS SEKOLAH   ,Johor Bahru,Johor
CHIA LEE POO,BDC6565,BAS SEKOLAH   ,Klang,Selangor
CHIA THIAN LYE,JDB3673,BAS SEKOLAH   ,Muar,Johor
CHIA THIAN LYE,NAQ9870,BAS SEKOLAH   ,Muar,Johor
CHIA WEI HUA,WBC8956,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
CHIA WEI HUA T/A CHIA WEI HUA,WBT4796,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
CHIA WEI MING,WBK3504,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
CHIA YEW SENG & RAKAN-RAKAN T/A PERKHIDMATAN BAS SEKOLAH SENG LEE,WD8498,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
CHIA YEW WAI,WES6231,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
CHIA YEW WAI,WBY9512,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
CHIA YOKE LING,BJH4545,BAS SEKOLAH   ,Petaling,Selangor
CHIA YOKE MEY,JDB5159,BAS SEKOLAH   ,Kulai Jaya,Johor
CHIA YOOK MENG @ SIA GEOK MING,WBR9780,BAS SEKOLAH   ,Gombak,Selangor
CHIA YOOK MENG @ SIA GEOK MING,BEK9377,BAS SEKOLAH   ,Gombak,Selangor
CHIA YOON LIN,BGS7620,BAS SEKOLAH   ,Hulu Langat,Selangor
CHIAH BOON SANG,WBX381,BAS SEKOLAH   ,Sabak Bernam,Selangor
CHIAH BOON SANG,WAK3152,BAS SEKOLAH   ,Kuala Langat,Selangor
CHIAH KEE HONG,CAE3774,BAS SEKOLAH   ,Kuantan,Pahang
CHIAH KEE HONG DAN RAKAN T/A PERKHIDMATAN BAS SEKOLAH CHIAH & LIEW,CBF7730,BAS SEKOLAH   ,Kuantan,Pahang
CHIAK NYAH POH,AX4187,BAS SEKOLAH   ,Barat Daya,Pulau Pinang
CHIANG FOO MEE,JAY9075,BAS SEKOLAH   ,Kluang,Johor
CHIANG KIM SWEE,JDB8978,BAS SEKOLAH   ,Johor Bahru,Johor
CHIANG KIM SWEE,JCR3138,BAS SEKOLAH   ,Johor Bahru,Johor
CHIEW AH KIM @ CHEW AH KIM,WV7767,BAS SEKOLAH   ,Batu Pahat,Johor
CHIEW KIM MOEY T/A VIROYAN TRADING,WBL4497,BAS SEKOLAH   ,Kuantan,Pahang
CHIEW LEAN THAM,JCM1147,BAS SEKOLAH   ,Johor Bahru,Johor
CHIEW LEAN THAM,WGE7939,BAS SEKOLAH   ,Johor Bahru,Johor
CHIEW POH KUAN,JDP1056,BAS SEKOLAH   ,Batu Pahat,Johor
CHIEW POH KUAN,WGR3660,BAS SEKOLAH   ,Batu Pahat,Johor
CHIEW THIM WENG T/A CHIEW THIM WENG,WYC7123,BAS SEKOLAH   ,Hulu Langat,Selangor
CHIEW YEN NEE,AFV5811,BAS SEKOLAH   ,"Larut, Matang Dan Selama",Perak
CHIEW YEN NEE,WNB9716,BAS SEKOLAH   ,"Larut, Matang Dan Selama",Perak
CHIK OLAH ENTERPRISE,NBC771,BAS SEKOLAH   ,Langkawi,Kedah
CHIN AH WAH,CAY5049,BAS SEKOLAH   ,Johor Bahru,Johor
CHIN CHIEW YIN,JDL2882,BAS SEKOLAH   ,Johor Bahru,Johor
CHIN CHIEW YIN,JKK9931,BAS SEKOLAH   ,Johor Bahru,Johor
CHIN CHOI LAN,WF6340,BAS SEKOLAH   ,Kuala Selangor,Selangor
CHIN CHOON WAI,WDJ7281,BAS SEKOLAH   ,Seremban,Negeri Sembilan
CHIN CHUEN WAH,WBG8419,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
CHIN FAH @ TAN CHENG YAW,BAN1699,BAS SEKOLAH   ,Perak Tengah,Perak
