NAMA SYARIKAT,NO KENDERAAN,KELAS LESEN,DAERAH,NEGERI
 AGENSI PENGANGKUTAN CAHAYA,WBL5329,BAS SEKOLAH   ,Johor Bahru,Johor
 AL FATAH TRANSPORT AGENCY,MW9258,BAS SEKOLAH   ,Johor Bahru,Johor
 AMIDA BERJAYA ENTERPRISE,JDJ3337,BAS SEKOLAH   ,Johor Bahru,Johor
 AMIDA BERJAYA ENTERPRISE,WDN6422,BAS SEKOLAH   ,Johor Bahru,Johor
 ARINIS TRANSPORT,JEB8672,BAS SEKOLAH   ,Johor Bahru,Johor
 ARINIS TRANSPORT,JLP5951,BAS SEKOLAH   ,Johor Bahru,Johor
 ARINIS TRANSPORT,WFY4462,BAS SEKOLAH   ,Johor Bahru,Johor
 D TRANZ AGENCY,DU7091,BAS SEKOLAH   ,Johor Bahru,Johor
 DELIMA TRANS,JHY7056,BAS SEKOLAH   ,Johor Bahru,Johor
 DELIMA TRANS,JPB3567,BAS SEKOLAH   ,Johor Bahru,Johor
 GAWRY TRANSPORT & TRADING,JMB1965,BAS SEKOLAH   ,Johor Bahru,Johor
 INSTITIUT KEMAHIRAN MARA SUNGAI PETANI,KBH3889,BAS SEKOLAH   ,Kuala Muda,Kedah
 INSTITIUT KEMAHIRAN MARA SUNGAI PETANI,KCA1048,BAS SEKOLAH   ,Kuala Muda,Kedah
 ISZYMAH ENTERPRISE,JEF2409,BAS SEKOLAH   ,Johor Bahru,Johor
 JEYIZ TRANSPORT,ABU9435,BAS SEKOLAH   ,Johor Bahru,Johor
 JEYIZ TRANSPORT,JDB540,BAS SEKOLAH   ,Johor Bahru,Johor
 KV TRANS,WBF2232,BAS SEKOLAH   ,Johor Bahru,Johor
 MD AMIN BIN MD TAP,JCR9479,BAS SEKOLAH   ,Johor Bahru,Johor
 MD AMIN BIN MD TAP,JCG6699,BAS SEKOLAH   ,Johor Bahru,Johor
 NELY ENTERPRISE,JDY5219,BAS SEKOLAH   ,Johor Bahru,Johor
 NELY ENTERPRISE,DX7053,BAS SEKOLAH   ,Johor Bahru,Johor
 OUM VINAIYAGAR TRAN.AGENCY,JDE4393,BAS SEKOLAH   ,Johor Bahru,Johor
 PENGANGKUTAN BAS AZHAR,JCE4201,BAS SEKOLAH   ,Johor Bahru,Johor
 RAHIM BEST TRANSPORT,JEF4202,BAS SEKOLAH   ,Johor Bahru,Johor
 RAHIM BEST TRANSPORT,JFL3637,BAS SEKOLAH   ,Johor Bahru,Johor
 RAHIM BEST TRANSPORT,WKY6681,BAS SEKOLAH   ,Johor Bahru,Johor
 S & J BERJAYA ENTERPRISE,JCA6669,BAS SEKOLAH   ,Johor Bahru,Johor
 S & J BERJAYA ENTERPRISE,JPD2166,BAS SEKOLAH   ,Johor Bahru,Johor
 SHAHNAZA ENTERPRISE,JCG9523,BAS SEKOLAH   ,Johor Bahru,Johor
 SHAIDAN JAYA ENTERPRISE,JEW8953,BAS SEKOLAH   ,Kulai Jaya,Johor
 SHAIDAN JAYA ENTERPRISE,WBL763,BAS SEKOLAH   ,Kulai Jaya,Johor
 SHAIDAN JAYA ENTERPRISE,WEB2030,BAS SEKOLAH   ,Kulai Jaya,Johor
 SRI ATHAVAN BUS SERVICE,WEL2406,BAS SEKOLAH   ,Jasin,Melaka
 SRI ATHAVAN BUS SERVICE,NAJ766,BAS SEKOLAH   ,Jasin,Melaka
 SUTHA ENTERPRISE,JDL4410,BAS SEKOLAH   ,Johor Bahru,Johor
 SWETA AGENCY,JEU2594,BAS SEKOLAH   ,Johor Bahru,Johor
 TADIKA LINDAR DUA,ABR9571,BAS SEKOLAH   ,Johor Bahru,Johor
 TADIKA LINDAR DUA,WGD5601,BAS SEKOLAH   ,Johor Bahru,Johor
 VD MAHAAN TRANSPORT AGENCY,JBG5705,BAS SEKOLAH   ,Johor Bahru,Johor
 VJL ENTERPRISE,WEV6473,BAS SEKOLAH   ,Kuala Muda,Kedah
 VJL ENTERPRISE,WCC1460,BAS SEKOLAH   ,Kuala Muda,Kedah
 WAKIL PENGANGKUTAN HOSEN,BDP8700,BAS SEKOLAH   ,Johor Bahru,Johor
 YAP LING ENTERPRISE,JKC4923,BAS SEKOLAH   ,Johor Bahru,Johor
 ZALERA ENTERPRISE,WDN1026,BAS SEKOLAH   ,Johor Bahru,Johor
 ZALERA ENTERPRISE,WFT8315,BAS SEKOLAH   ,Johor Bahru,Johor
A & C BERKAT ENTERPRISE,WHA2961,BAS SEKOLAH   ,Klang,Selangor
A & G BAL BROTHERS ENTERPRISE,BMR7128,BAS SEKOLAH   ,Hulu Langat,Selangor
A & G BAL BROTHERS ENTERPRISE,BMY7128,BAS SEKOLAH   ,Hulu Langat,Selangor
A & S BERSATU RESOURCES,JCQ7744,BAS SEKOLAH   ,Klang,Selangor
A & S BERSATU RESOURCES,BHD1333,BAS SEKOLAH   ,Klang,Selangor
A & S BERSATU RESOURCES,W1767R,BAS SEKOLAH   ,Klang,Selangor
A A ANNAMAH ENTERPRISE,CBM4176,BAS SEKOLAH   ,Klang,Selangor
A JADE TRANSPORT,WVT1955,BAS SEKOLAH   ,Kuala Selangor,Selangor
A KALIPAN A/K AYAMUTHU T/A K PESHA ENTERPRISE,BES7637,BAS SEKOLAH   ,Johor Bahru,Johor
A KALIPAN A/K AYAMUTHU T/A K PESHA ENTERPRISE,WEM6232,BAS SEKOLAH   ,Johor Bahru,Johor
A M B S RAMAKRISHNAN ENTERPRISE,BLA6084,BAS SEKOLAH   ,Klang,Selangor
A MASTURA ENTERPRISE,W2764W,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A MEN ENTERPRISE,BFF3874,BAS SEKOLAH   ,Klang,Selangor
A NOI ENTERPRISE,JJU3416,BAS SEKOLAH   ,Johor Bahru,Johor
A NOI ENTERPRISE,BEG5328,BAS SEKOLAH   ,Johor Bahru,Johor
A NOI ENTERPRISE,JQN4040,BAS SEKOLAH   ,Johor Bahru,Johor
A PEACE ENTERPRISE,WA8309X,BAS SEKOLAH   ,Hulu Langat,Selangor
A R Z TRADING,BES6571,BAS SEKOLAH   ,Klang,Selangor
A R Z TRADING,DY318,BAS SEKOLAH   ,Klang,Selangor
A R Z TRANSPORT TRAVEL & TOUR SDN BHD,BEV772,BAS SEKOLAH   ,Kuala Langat,Selangor
A RAHIM BIN SUKIMAN,AW9194,BAS SEKOLAH   ,Perak Tengah,Perak
A RAHIM TRANSPORT,JQR8095,BAS SEKOLAH   ,Johor Bahru,Johor
A RAHIM TRANSPORT,JHF640,BAS SEKOLAH   ,Johor Bahru,Johor
A RAHMAN BIN MOHAMED,WM3988,BAS SEKOLAH   ,Segamat,Johor
A RUKUMANI TRANSPORT,WFR2718,BAS SEKOLAH   ,Klang,Selangor
A RUKUMANI TRANSPORT,WPE4996,BAS SEKOLAH   ,Klang,Selangor
A RUZI BIN JAMIAN,BDP5925,BAS SEKOLAH   ,Klang,Selangor
A S M RAMESH CHETTIAR SDN BHD,PBR1899,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,BEG6602,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,BEA3126,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,BMA6050,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,JBS6617,BAS SEKOLAH   ,Petaling,Selangor
A S M RAMESH CHETTIAR SDN BHD,WP8978,BAS SEKOLAH   ,Petaling,Selangor
A SHAH BINTI JA AFAR,WA5448Y,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WDK504,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WCN7169,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WCR4901,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WPV8317,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A SHAH BINTI JA AFAR,WGE1350,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
A THREE ENTERPRISE,BEV6156,BAS SEKOLAH   ,Petaling,Selangor
A Z TRANSPORTATION,NAM4122,BAS SEKOLAH   ,Sepang,Selangor
A. RAHIM BIN MOHAMED DAN RAKAN T/A SINAR KOTA TRADING,JDQ835,BAS SEKOLAH   ,Kota Tinggi,Johor
A. RAHMAN BIN SAID T/A RZ TEGUH JAYA ENTERPRISE,TBL3271,BAS SEKOLAH   ,Kuala Terengganu,Terengganu
A. SAHATHEVAN A/L S.ALAGARASAMY,ACK5678,BAS SEKOLAH   ,Petaling,Selangor
A. SAHATHEVAN A/L S.ALAGARASAMY,WGG4776,BAS SEKOLAH   ,Petaling,Selangor
A.PERUMAL A/L M APAU,MAE707,BAS SEKOLAH   ,Melaka Tengah,Melaka
A.SIMANSALAM ENTERPRISE,NBK2218,BAS SEKOLAH   ,Kulim,Kedah
A.SIMANSALAM ENTERPRISE,PJG 9369,BAS SEKOLAH   ,Kulim,Kedah
AA QASEH ENTERPRISE,BED358,BAS SEKOLAH   ,Alor Gajah,Melaka
AA QASEH ENTERPRISE,WCC5293,BAS SEKOLAH   ,Alor Gajah,Melaka
AAJA ENTERPRISE,WEC3744,BAS SEKOLAH   ,Johor Bahru,Johor
AAJA ENTERPRISE,JCM359,BAS SEKOLAH   ,Johor Bahru,Johor
AASHNI ENTERPRISE,WGX8823,BAS SEKOLAH   ,Hulu Langat,Selangor
AATHYMOOLAM A/L VENGOO,BDY7737,BAS SEKOLAH   ,Klang,Selangor
AB AZIZ BIN RAMLAN,JEV4183,BAS SEKOLAH   ,Johor Bahru,Johor
AB AZIZ BIN RAMLAN,JDA2473,BAS SEKOLAH   ,Johor Bahru,Johor
AB AZIZ BIN YUSOH,DR5466,BAS SEKOLAH   ,Kota Bharu,Kelantan
AB GHANI BIN AHMAD,WCD5155,BAS SEKOLAH   ,Johor Bahru,Johor
AB GHANI BIN JAFFAR,JDS2168,BAS SEKOLAH   ,Johor Bahru,Johor
AB GHANI BIN JAFFAR,WCM1385,BAS SEKOLAH   ,Johor Bahru,Johor
AB GHANI BIN MD NOOR,NAF1232,BAS SEKOLAH   ,Kuala Pilah,Negeri Sembilan
AB HALIM BIN YUSOF,BCV1960,BAS SEKOLAH   ,Sepang,Selangor
AB HALIM BIN YUSOF,BMK4729,BAS SEKOLAH   ,Sepang,Selangor
AB JALIL BIN SAHLAN,JDA7397,BAS SEKOLAH   ,Johor Bahru,Johor
AB JALIL BIN SAHLAN,JMH143,BAS SEKOLAH   ,Johor Bahru,Johor
AB MUTALIB BIN DAUD,CY9415,BAS SEKOLAH   ,Pasir Puteh,Kelantan
AB RAHIM BIN AB RAHMAN,JGQ8666,BAS SEKOLAH   ,Pontian,Johor
AB RAHIM BIN CHIK,DS2912,BAS SEKOLAH   ,Johor Bahru,Johor
AB RAHIM BIN CHIK,WCP8893,BAS SEKOLAH   ,Johor Bahru,Johor
AB RAHIM BIN CHIK,PBJ7120,BAS SEKOLAH   ,Johor Bahru,Johor
AB RAHMAN BIN BUJANG T/A SYARIKAT PERNIAGAAN AMAN,BCU9893,BAS SEKOLAH   ,Kuala Selangor,Selangor
AB RAHMAN BIN MOHD,WBF1622,BAS SEKOLAH   ,Kuala Terengganu,Terengganu
AB RAHMAN BIN SALLEH,TE6100,BAS SEKOLAH   ,Kuala Terengganu,Terengganu
AB RASHID BIN SHARIFF,MAW1178,BAS SEKOLAH   ,Melaka Tengah,Melaka
AB RASHID BIN SHARIFF,BEH1932,BAS SEKOLAH   ,Melaka Tengah,Melaka
AB SAMAD BIN MARWI,WPY7267,BAS SEKOLAH   ,Klang,Selangor
AB WAHAB BIN SALEH,NAK3066,BAS SEKOLAH   ,Melaka Tengah,Melaka
AB. SALAM BIN A. BAKAR,TBL7806,BAS SEKOLAH   ,Dungun,Terengganu
AB.RAMAN BIN SAAD,WCG7782,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
ABA BIN CHAHIM,WUM5583,BAS SEKOLAH   ,Hulu Langat,Selangor
ABANG INTAN AGENCY,WFJ945,BAS SEKOLAH   ,Kulai Jaya,Johor
ABANG INTAN AGENCY,WDN6436,BAS SEKOLAH   ,Kulai Jaya,Johor
ABAR PROGRESIF ENTERPRISE,BEA5569,BAS SEKOLAH   ,Kuantan,Pahang
ABAS BIN MD SAID,JGC916,BAS SEKOLAH   ,Johor Bahru,Johor
ABAS BIN MOHAMED,JEX4716,BAS SEKOLAH   ,Batu Pahat,Johor
ABD AZIZ BIN ABDUL HAMID @ SKUBAK,JCG163,BAS SEKOLAH   ,Johor Bahru,Johor
ABD AZIZ BIN ABDUL HAMID @ SKUBAK,BCM814,BAS SEKOLAH   ,Johor Bahru,Johor
ABD AZIZ BIN HASSAN,AHX9367,BAS SEKOLAH   ,"Larut, Matang Dan Selama",Perak
ABD AZIZ BIN MOHD SALLEH,WG3827,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
ABD AZIZ BIN RAMLI,TG1643,BAS SEKOLAH   ,Marang,Terengganu
ABD BA'SHID BIN ABU BAKAR,JCQ4022,BAS SEKOLAH   ,Muar,Johor
ABD BA'SHID BIN ABU BAKAR,MX1559,BAS SEKOLAH   ,Muar,Johor
ABD GHANI BIN ABDULLAH,TBQ4119,BAS SEKOLAH   ,Dungun,Terengganu
ABD GHANI BIN ABDULLAH,TU4119,BAS SEKOLAH   ,Dungun,Terengganu
ABD GHANI BIN ABDULLAH,TU1877,BAS SEKOLAH   ,Dungun,Terengganu
ABD GHANI BIN ABDULLAH,CCQ4119,BAS SEKOLAH   ,Dungun,Terengganu
ABD GHANI BIN ABDULLAH,CCV4119,BAS SEKOLAH   ,Dungun,Terengganu
ABD GHANI BIN BABA,MBF9289,BAS SEKOLAH   ,Melaka Tengah,Melaka
ABD GHANI BIN BABA,WGR1981,BAS SEKOLAH   ,Melaka Tengah,Melaka
ABD GHANI BIN MOHD BADRI,BGR6566,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
ABD GHANI BIN MOHD BADRI,WJF5015,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
ABD HADI BIN CHE YA,PCG2739,BAS SEKOLAH   ,Barat Daya,Pulau Pinang
ABD HALIM BIN ABD RASHID,WTH7514,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
ABD HALIM BIN HUSSIN,PFR8929,BAS SEKOLAH   ,Langkawi,Kedah
ABD HAMID BIN MANA,WDH279,BAS SEKOLAH   ,Mersing,Johor
ABD HAMIT BIN ALI,BEU6239,BAS SEKOLAH   ,Johor Bahru,Johor
ABD JALIL BIN RAIS,WGM8205,BAS SEKOLAH   ,Batu Pahat,Johor
ABD KARIM BIN RAMLI,PCC4586,BAS SEKOLAH   ,Kerian,Perak
ABD KARIM BIN SAID,JEB8695,BAS SEKOLAH   ,Johor Bahru,Johor
ABD KARIM BIN YASSEN,JEL7049,BAS SEKOLAH   ,Johor Bahru,Johor
ABD LATIF BIN MAHMOOD,JDC1362,BAS SEKOLAH   ,Muar,Johor
ABD MANAN BIN JALIL,CAC53,BAS SEKOLAH   ,Johor Bahru,Johor
ABD MANAN BIN JALIL,JDU7463,BAS SEKOLAH   ,Johor Bahru,Johor
ABD MANAN BIN JALIL,JCG898,BAS SEKOLAH   ,Johor Bahru,Johor
ABD MANAN BIN JALIL,MAC2266,BAS SEKOLAH   ,Johor Bahru,Johor
ABD MANAN BIN JALIL,WHT6389,BAS SEKOLAH   ,Johor Bahru,Johor
ABD MUBIN BIN HAJI YUSOFF,KU3271,BAS SEKOLAH   ,Muar,Johor
ABD MUBIN BIN HAJI YUSOFF,RC5923,BAS SEKOLAH   ,Muar,Johor
ABD RAHMAN BIN HASAN,KDN6869,BAS SEKOLAH   ,Kuala Muda,Kedah
ABD RAHMAN BIN HJ MOHD,JAA9208,BAS SEKOLAH   ,Melaka Tengah,Melaka
ABD RAHMAN BIN K.S MUHAMAD,BDN7600,BAS SEKOLAH   ,Kulim,Kedah
ABD RAHMAN BIN MD SAB,WL5198,BAS SEKOLAH   ,Melaka Tengah,Melaka
ABD RAHMAN BIN MOHD SELAMAT,JGR6933,BAS SEKOLAH   ,Johor Bahru,Johor
ABD RAHMAN BIN MOHD SELAMAT,WET408,BAS SEKOLAH   ,Johor Bahru,Johor
ABD RAHMAN BIN TARI,BCX8215,BAS SEKOLAH   ,Klang,Selangor
ABD RAHMAN BIN U. MOLY @ V. MOLY,PV2191,BAS SEKOLAH   ,Pontian,Johor
ABD RAOF BIN MOHAMMAD ENTERPRISE,BDC4037,BAS SEKOLAH   ,Petaling,Selangor
ABD RASID BIN LANI,WK3350,BAS SEKOLAH   ,,Selangor
ABD RAZAK BIN IDRIS T/A ABDUL RAZAK BIN IDRIS,KAD958,BAS SEKOLAH   ,Kuala Muda,Kedah
ABD RAZAK BIN IDRIS T/A ABDUL RAZAK BIN IDRIS,KW6423,BAS SEKOLAH   ,Seberang Perai Utara,Pulau Pinang
ABD RAZAK BIN RAMLAN,NAH362,BAS SEKOLAH   ,Muar,Johor
ABD SAMAD BIN AHMAD,WDC3102,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
ABD SAMAD BIN PANDAK,JCY4243,BAS SEKOLAH   ,Kluang,Johor
ABD SAMAD BIN PANDAK,JEP9510,BAS SEKOLAH   ,Kluang,Johor
ABD WAHAB BIN ABDUL RAJI,CAP4021,BAS SEKOLAH   ,Klang,Selangor
ABD WASIR BIN SIKIN,JEA5101,BAS SEKOLAH   ,Johor Bahru,Johor
ABD YAZID BIN MUZIR,WDE8529,BAS SEKOLAH   ,Johor Bahru,Johor
ABD YAZID BIN MUZIR,WBH9654,BAS SEKOLAH   ,Johor Bahru,Johor
ABD. HALIM BIN SHAPIE,KY4579,BAS SEKOLAH   ,Kota Setar,Kedah
ABD. HAMID BIN T. KARIM T/A ABD. HAMID BIN T. KARIM,WAT9675,BAS SEKOLAH   ,Hulu Selangor,Selangor
ABD. RAZAK BIN MOHAMMED,NBH4817,BAS SEKOLAH   ,Jempol,Negeri Sembilan
ABD. TALIB BIN MD SALLEH,JBY3965,BAS SEKOLAH   ,Johor Bahru,Johor
ABDASU IMPIAN ENTERPRISE,WEH669,BAS SEKOLAH   ,Hulu Langat,Selangor
ABDASU IMPIAN ENTERPRISE,WKG1636,BAS SEKOLAH   ,Hulu Langat,Selangor
ABDDUL RAZZAK BIN RIDWAN,JGN2977,BAS SEKOLAH   ,Johor Bahru,Johor
ABDDUL RAZZAK BIN RIDWAN,JGQ8933,BAS SEKOLAH   ,Johor Bahru,Johor
ABDDUL RAZZAK BIN RIDWAN,JDL4928,BAS SEKOLAH   ,Johor Bahru,Johor
ABDUL AYOB BIN SAMSUDIN,PDD208,BAS SEKOLAH   ,Seberang Perai Tengah,Pulau Pinang
ABDUL AZIZ BIN ALI,JEA7017,BAS SEKOLAH   ,Kluang,Johor
ABDUL AZIZ BIN ALI,ACU332,BAS SEKOLAH   ,Kluang,Johor
ABDUL AZIZ BIN DOL,DU3318,BAS SEKOLAH   ,Kuantan,Pahang
ABDUL AZIZ BIN ISMAIL,CAJ1199,BAS SEKOLAH   ,Temerloh,Pahang
ABDUL AZIZ BIN ISMAIL,BDV7018,BAS SEKOLAH   ,Temerloh,Pahang
ABDUL AZIZ BIN ISMAIL GANI,WCY3910,BAS SEKOLAH   ,Kuala Selangor,Selangor
ABDUL AZIZ BIN ISMAIL GANI,kca212,BAS SEKOLAH   ,Kuala Selangor,Selangor
ABDUL AZIZ BIN ISMAIL GANI,AGA212,BAS SEKOLAH   ,Kuala Selangor,Selangor
ABDUL AZIZ BIN KUNJI MOHAMED,MAH327,BAS SEKOLAH   ,Johor Bahru,Johor
ABDUL AZIZ BIN MANSOR,MAD5789,BAS SEKOLAH   ,Alor Gajah,Melaka
ABDUL AZIZ BIN MD ALI,BCU9961,BAS SEKOLAH   ,Kuala Langat,Selangor
ABDUL AZIZ BIN MD DAUD,BGB4218,BAS SEKOLAH   ,Baling,Kedah
ABDUL AZIZ BIN MUSA,CAD2235,BAS SEKOLAH   ,Kemaman,Terengganu
ABDUL AZIZ BIN NAGOOR GHANI,CAS1030,BAS SEKOLAH   ,Klang,Selangor
ABDUL AZIZ BIN NOORDIN,ADE 8638,BAS SEKOLAH   ,Perak Tengah,Perak
ABDUL AZIZ BIN NOORDIN,ADG896,BAS SEKOLAH   ,Perak Tengah,Perak
ABDUL AZIZ BIN NOORDIN,NBA117,BAS SEKOLAH   ,Perak Tengah,Perak
ABDUL AZIZ BIN SALEH,WXD2644,BAS SEKOLAH   ,Gombak,Selangor
ABDUL AZIZ BIN SHAFIE,KAD2166,BAS SEKOLAH   ,Kota Setar,Kedah
ABDUL AZIZ BIN SHAFIE,PBS5747,BAS SEKOLAH   ,Kota Setar,Kedah
ABDUL AZIZ BIN YAHYA,BDY384,BAS SEKOLAH   ,Sepang,Selangor
ABDUL FATTAH BIN MUHAMAD,WBM8118,BAS SEKOLAH   ,Kuala Terengganu,Terengganu
ABDUL GHANI BIN BABA T/A ABDUL GHANI BIN BABA,WFD7096,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
ABDUL GHANI BIN DOUTEH,WDC9068,BAS SEKOLAH   ,Alor Gajah,Melaka
ABDUL GHANI BIN MOHAMAD,JDR1723,BAS SEKOLAH   ,Johor Bahru,Johor
ABDUL GHANI BIN MOHD YUSOF,JEJ5602,BAS SEKOLAH   ,Johor Bahru,Johor
ABDUL GHANI BIN MOHD YUSOF,NAE8789,BAS SEKOLAH   ,Johor Bahru,Johor
ABDUL GHANI BIN MOHD YUSOF,WEE5022,BAS SEKOLAH   ,Johor Bahru,Johor
ABDUL GHANI BIN NA SHAMSUDDIN,WDR5305,BAS SEKOLAH   ,Gombak,Selangor
ABDUL GHANI BIN SAMSUDIN,BGS9298,BAS SEKOLAH   ,Hulu Langat,Selangor
ABDUL GHANI BIN WAN ISHAK,CCE9016,BAS SEKOLAH   ,Kemaman,Terengganu
ABDUL GHAPA BIN MOHAMAD,WDJ7108,BAS SEKOLAH   ,Kota Bharu,Kelantan
ABDUL GHAPA BIN MOHAMAD,WEH7155,BAS SEKOLAH   ,Kota Bharu,Kelantan
ABDUL HADI BIN ABDULLAH,WES4641,BAS SEKOLAH   ,Petaling,Selangor
ABDUL HADI BIN ZAINAL ABIDIN,WBT3097,BAS SEKOLAH   ,Kinta,Perak
ABDUL HAFIZ BIN EMAM BUHARI,BNB5022,BAS SEKOLAH   ,Klang,Selangor
ABDUL HALIM BIN ABDUL RAHMAN,BAT2713,BAS SEKOLAH   ,Kuala Kangsar,Perak
ABDUL HALIM BIN ABDUL RAHMAN,WBS4641,BAS SEKOLAH   ,Kuala Kangsar,Perak
ABDUL HALIM BIN AHMAD,WCU 5395,BAS SEKOLAH   ,Langkawi,Kedah
ABDUL HALIM BIN ANNUARI,WDC8248,BAS SEKOLAH   ,Klang,Selangor
ABDUL HALIM BIN ANNUARI,JCC9312,BAS SEKOLAH   ,Klang,Selangor
ABDUL HALIM BIN DOLLAH,BCX1555,BAS SEKOLAH   ,Bentong,Pahang
ABDUL HALIM BIN MOHAMAD AMIN,KAK187,BAS SEKOLAH   ,Kuala Muda,Kedah
ABDUL HALIM BIN MOHAMAD AMIN,PDD211,BAS SEKOLAH   ,Kuala Muda,Kedah
ABDUL HALIM BIN MOHD AZMIN TRADING,WEA8394,BAS SEKOLAH   ,Rompin,Pahang
ABDUL HALIM BIN MOHD GHAZALI,BDS1995,BAS SEKOLAH   ,Gombak,Selangor
ABDUL HALIM BIN MOHD TAHIR,ABD198,BAS SEKOLAH   ,Ulu Perak,Perak
ABDUL HALIM BIN OTHMAN,WBD7168,BAS SEKOLAH   ,Kerian,Perak
ABDUL HALIM WAHAB ENTERPRISE,JCE1917,BAS SEKOLAH   ,Johor Bahru,Johor
ABDUL HAMID BIN HASNAN T/A D BINGO TRANSPORT AGENCY,WDP5101,BAS SEKOLAH   ,Johor Bahru,Johor
ABDUL HAMID BIN IBRAHIM,NAL2802,BAS SEKOLAH   ,Kuantan,Pahang
ABDUL HAMID BIN MD. ISMAIL,BDC9309,BAS SEKOLAH   ,Hulu Langat,Selangor
ABDUL HAMID BIN OMAR,WCH3985,BAS SEKOLAH   ,Johor Bahru,Johor
ABDUL HASLI BIN ABDULLAH,CAT491,BAS SEKOLAH   ,Perlis,Perlis
ABDUL HASLI BIN ABDULLAH,KAD8828,BAS SEKOLAH   ,Perlis,Perlis
ABDUL JALAL BIN MAT AKIB,WBA7347,BAS SEKOLAH   ,Melaka Tengah,Melaka
ABDUL JALAL BIN SELAMAT,BBW6621,BAS SEKOLAH   ,Klang,Selangor
ABDUL JALIL BIN ABDUL RASHID,WGJ9134,BAS SEKOLAH   ,Seremban,Negeri Sembilan
ABDUL KADIR BIN MOHAMAD HANIPAH,BKM212,BAS SEKOLAH   ,Kuala Selangor,Selangor
ABDUL KADIR BIN MOHAMAD HANIPAH,BKS212,BAS SEKOLAH   ,Kuala Selangor,Selangor
ABDUL KADIR BIN MOHAMAD HANIPAH,WYH7868,BAS SEKOLAH   ,Kuala Selangor,Selangor
ABDUL KADIR BIN MUSTAFA,WBT4045,BAS SEKOLAH   ,Pasir Puteh,Kelantan
ABDUL KADIR BIN MUSTAFA,WBH1728,BAS SEKOLAH   ,Pasir Puteh,Kelantan
ABDUL KAMAR BIN BAHARI T/A DAMAI MINDA ENTERPRISE,RC6791,BAS SEKOLAH   ,Timur Laut,Pulau Pinang
ABDUL KAMAR BIN BAHARI T/A DAMAI MINDA ENTERPRISE,WAV6058,BAS SEKOLAH   ,Timur Laut,Pulau Pinang
ABDUL KARIM BIN ABDULLAH,MAB8556,BAS SEKOLAH   ,Kulai Jaya,Johor
ABDUL KARIM BIN LEMBOT,PDV9817,BAS SEKOLAH   ,Baling,Kedah
ABDUL KARIM BIN LEMBOT,PCX871,BAS SEKOLAH   ,Baling,Kedah
ABDUL KASSIM BIN MOHAMAD HANIPAH,BKR212,BAS SEKOLAH   ,Gombak,Selangor
ABDUL LATIF ENTERPRISE,WCV34,BAS SEKOLAH   ,Klang,Selangor
ABDUL LATIFF BIN ALIAS,WDE5270,BAS SEKOLAH   ,Rompin,Pahang
ABDUL LATIP BIN ABU BAKAR,CAJ196,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
ABDUL LATIP BIN ABU BAKAR,WDN6682,BAS SEKOLAH   ,Wp Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
ABDUL MALEK B. ISMAIL,BEX6389,BAS SEKOLAH   ,Kuantan,Pahang
ABDUL MALEK BIN GULAM HUSSIN,NX9995,BAS SEKOLAH   ,Melaka Tengah,Melaka
ABDUL MALEK BIN SAMSUDIN & HEW YAN CHING,WBL4398,BAS SEKOLAH   ,Tampin,Negeri Sembilan
ABDUL MALIK BIN ABDULLAH  T/A  MR TRADING & SERVICES,CAF6004,BAS SEKOLAH   ,Pekan,Pahang
ABDUL MALIK BIN OSMAN  T/A  ABDUL MALIK BIN OSMAN,WCD4507,BAS SEKOLAH   ,Johor Bahru,Johor
